date,song_rank,song_name,song_duration,song_popularity,album_release_date,album_total_tracks,album_id,album_artist_list,album_url, playlist
2023-11-19,1,greedy,0:02:11,100,2023-09-15,1,3UOV8XvCwMKaATRNXrYCjN,Tate McRae,https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN,Top 50 - Global
2023-11-19,2,Si No Estás,0:03:04,99,2022-09-23,1,66k6EGkPtYoN44anGIsEPW,iñigo quintero,https://open.spotify.com/album/66k6EGkPtYoN44anGIsEPW,Top 50 - Global
2023-11-19,3,Lover,0:02:58,99,2019-08-23,18,1NAmidJlEaVgA3MpcPFYGq,Taylor Swift,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,Top 50 - Global
2023-11-19,4,GOLDEN,0:03:03,87,2023-11-03,11,5pSk3c3wVwnb2arb6ohCPU,Jung Kook,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU,Top 50 - Global
2023-11-19,5,The Land Is Inhospitable and So Are We,0:02:17,97,2023-09-15,11,2Cn1d2KgbkAqbZCJ1RzdkA,Mitski,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA,Top 50 - Global
2023-11-19,6,Lovin On Me,0:02:18,89,2023-11-10,1,6VCO0fDBGbRW8mCEvV95af,Jack Harlow,https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af,Top 50 - Global
2023-11-19,7,nadie sabe lo que va a pasar mañana,0:02:42,97,2023-10-13,22,4FftCsAcXXD1nFO9RFUNFO,Bad Bunny,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO,Top 50 - Global
2023-11-19,9,Scarlet,0:03:50,88,2023-09-20,15,1bBez9PNvkJPW08bU7NYta,Doja Cat,https://open.spotify.com/album/1bBez9PNvkJPW08bU7NYta,Top 50 - Global
2023-11-19,10,Pa las Baby's Y Belikeada,0:02:23,93,2023-10-20,30,3zu0hJJew2qXZNlselIQk8,Fuerza Regida,https://open.spotify.com/album/3zu0hJJew2qXZNlselIQk8,Top 50 - Global
2023-11-19,11,Strangers,0:02:52,97,2023-09-01,1,18ogtNq9F7DmMkNYO6Xb4k,Kenya Grace,https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k,Top 50 - Global
2023-11-19,13,1989 (Taylor's Version),0:03:49,94,2023-10-26,21,64LU4c1nfjz1t4VnGhagcg,Taylor Swift,https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,Top 50 - Global
2023-11-19,14,MAÑANA SERÁ BONITO (BICHOTA SEASON),0:02:52,94,2023-08-10,9,0FqAaUEyKCyUNFE1uQPZ7i,KAROL G,https://open.spotify.com/album/0FqAaUEyKCyUNFE1uQPZ7i,Top 50 - Global
2023-11-19,15,Merry Christmas,0:04:01,89,1994-10-28,10,61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,https://open.spotify.com/album/61ulfFSmmxMhc2wCdmdMkN,Top 50 - Global
2023-11-19,16,Que Onda,0:03:11,94,2023-08-30,1,4x6cjOcVz44aiLSOHCLKPd,"Calle 24, Chino Pacas, Fuerza Regida",https://open.spotify.com/album/4x6cjOcVz44aiLSOHCLKPd,Top 50 - Global
2023-11-19,17,Houdini,0:03:05,90,2023-11-09,1,5pTaRVLwZOFObIbRBubmeb,Dua Lipa,https://open.spotify.com/album/5pTaRVLwZOFObIbRBubmeb,Top 50 - Global
2023-11-19,19,Water,0:03:20,96,2023-07-28,1,22sXXkKgjEuawIFL1e1tRw,Tyla,https://open.spotify.com/album/22sXXkKgjEuawIFL1e1tRw,Top 50 - Global
2023-11-19,20,The Singles: Echoes from the Edge of Heaven,0:04:25,76,2023-07-07,16,2wyHNTisH8PtZG8OG58xr6,Wham!,https://open.spotify.com/album/2wyHNTisH8PtZG8OG58xr6,Top 50 - Global
2023-11-19,21,LA VIDA ES UNA,0:03:17,96,2023-03-23,23,3puAvurwvtvi1rodndIPW8,Myke Towers,https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8,Top 50 - Global
2023-11-19,22,Don Juan,0:02:22,89,2023-08-25,25,3Fk8yQvPlCHgwR2pNhEIRA,Maluma,https://open.spotify.com/album/3Fk8yQvPlCHgwR2pNhEIRA,Top 50 - Global
2023-11-19,23,AM,0:03:03,95,2013-09-09,12,78bpIziExqiI9qztvNFlQu,Arctic Monkeys,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu,Top 50 - Global
2023-11-19,24,GÉNESIS,0:03:32,94,2023-06-29,17,4jox3ip1I39DFC2B7R5qLH,Peso Pluma,https://open.spotify.com/album/4jox3ip1I39DFC2B7R5qLH,Top 50 - Global
2023-11-19,25,Harry's House,0:02:47,94,2022-05-20,13,5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,Top 50 - Global
